Target;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2
чуть не;Лёва;Sg;M;1;сшибать;0;2;Pres;1;0;0
чуть не;0;Sg;N;0;стошнить;0;0;Past;1;0;0
чуть не;0;Sg;M;2;сбежать;0;0;Past;0;0;0
чуть не;0;Pl;None;1;выслать;0;0;Past;1;0;0
чуть не;он;Sg;M;1;свалиться;0;0;Past;0;1;0
чуть не;ефрейтор;Sg;M;1;плакать;0;2;Pres;0;0;0
чуть не;мы;Pl;None;1;пристрелить;0;0;Past;1;1;0
чуть не;я;Sg;M;1;поперхнуться;0;0;Past;0;0;0
чуть не;он;Sg;M;1;задыхаться;0;0;Past;2;0;0
чуть не;он;Sg;M;1;рухнуть;0;0;Past;1;0;0
чуть не;он;Sg;M;1;прыгать;0;0;Past;2;0;0
чуть не;я;Sg;M;1;полететь;0;0;Past;2;0;1
чуть не;я;Sg;M;1;рухнуть;0;0;Past;0;0;0
чуть не;0;Sg;M;1;упасть;0;0;Past;0;0;1
чуть не;0;Sg;N;0;вырваться;0;0;Past;2;0;0
чуть не;птица;Sg;F;1;коснуться;0;2;Past;1;0;0
чуть не;я;Sg;M;1;разбить;0;0;Past;1;0;0
чуть не;я;Sg;M;1;стукнуться;0;0;Past;2;0;0
чуть не;он;Sg;M;1;плакать;0;0;Past;0;0;0
чуть не;Таня;Sg;F;1;подрыгнуть;0;0;Past;0;0;0
чуть не;он;Sg;M;1;кричать;1;2;Pres;0;0;0
чуть не;мы;Pl;None;1;запороть;0;0;Past;1;0;0
чуть не;я;Sg;F;1;засмеяться;0;0;Past;0;1;0
чуть не;мы;Pl;None;1;помереть;0;0;Past;0;0;0
чуть не;птенцы;Pl;None;1;вываливаться;0;2;Past;0;0;0
чуть не;я;Sg;M;1;утонуть;0;0;Past;0;0;0
чуть не;Мария Филипповна;Sg;F;1;подавиться;0;0;Past;0;0;0
чуть не;мы;Pl;None;1;подраться;0;0;Past;0;1;0
чуть не;она;Sg;F;1;плакать;0;2;Pres;0;0;0
чуть не;Галя;Sg;F;1;плакать;0;0;Past;0;0;0
чуть не;0;Sg;N;0;вывернуть;0;0;Past;1;0;0
чуть не;я;Sg;M;1;заплакать;0;0;Past;0;0;0
чуть не;дверь;Sg;F;0;прихлопнуть;0;0;Past;1;0;0
чуть не;я;Sg;M;1;спустить;0;0;Past;1;0;0
чуть не;[я];Sg;M;1;срезать;0;0;Past;0;0;0
чуть не;Майзель;Sg;M;1;помереть;0;0;Past;0;0;1
чуть не;[я];Sg;M;1;забыть;0;0;Past;1;0;0
