Left context;Center;Punct;Subject;Number;Gender;Animacy;Verb;Verb_of_speech;Ger;Verb_time;Object;Protiv1;Protiv2;Right context;Full context;;;;;;;;Birthday;Created;Sphere;Type;Topic;Publ_year
 придется кого-то еще искать.   Вячик ; чуть ;  ;Вячик;Sg;M;1;потерять;0;0;Past;3;0;0;было не потерял лицо.  То ; Откажетесь ? очень жаль, придется кого-то еще искать.   Вячик чуть было не потерял лицо.  То есть оба из своих лиц, хотя одна половина из-за нарушенных мимических функций всегда казалась не вполне живой ? не мертвой, но мертвоватой.  [Алексей Слаповский. Большая Книга Перемен // «Волга», 2010] [омонимия не снята];;;;;;;;1957 ;2010 ;художественная ;роман ; ;2010 
 тачающий извилистую выкройку чужих сознаний, ; чуть ;  ;сапожник;Sg;M;1;потерять;0;0;Past;1;0;0;было не потерял свою собственную ;  И лишь одно-единственное вызывало в солнечном сплетении счастливого психиатра всплески карусельной тошноты ? безобидное смешение языков и переиначивание отдельных слов, напоминающее ему о том коротком, но очень тонком времени, когда «сапожник», тачающий извилистую выкройку чужих сознаний, чуть было не потерял свою собственную пару единственно подходящих ему «сапог».  [Татьяна Соломатина. Сонина Америка (2010)] [омонимия не снята];;;;;;;;1971 ;2010 ;художественная ;повесть ; ;2010 
 ее так прозвал, а сперва ; чуть ;  ;я;Sg;M;1;прогнать;0;0;Past;0;0;а;было не прогнал.  ; Это потом я ее так прозвал, а сперва чуть было не прогнал.  [Сергей Соломаха. Фантастический рассказ. «Голод» // Юный техник, 2010] [омонимия не снята];;;;;;;; ;2010 ;публицистика, нехудожественная ;рассказ ;наука и технологии ;2010 
 недалеко от дворца, в изнеможении ; чуть ;  ;я;Sg;F;1;упасть;0;2;Past;2;0;0;было не упав на заворачивающую ;  Машину я поймала недалеко от дворца, в изнеможении чуть было не упав на заворачивающую с Дворцовой набережной машину.  [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята];;;;;;;;1969 ;2009 ;художественная проза ;повесть ; ;2010 
 перед бухгалтершей экспедиторша от хохота ; чуть ;  ;экспедиторша;Sg;F;1;начать;0;0;Past;1;0;0;было не начала движение по-пластунски ;  Ползущая перед бухгалтершей экспедиторша от хохота чуть было не начала движение по-пластунски.  [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята];;;;;;;;1969 ;2009 ;художественная проза ;повесть ; ;2010 
 распахнув дверь так, что она ; чуть ;  ;дверь;Sg;F;0;слететь;0;0;Past;2;0;0;было не слетела с петель ; Топая как слон, кто-то влетел в подъезд, распахнув дверь так, что она чуть было не слетела с петель.  [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята];;;;;;;;1969 ;2009 ;художественная проза ;повесть ; ;2010 
 приключение, связанное с поэтом, которое ; чуть ;  ;которое (приключение);Sg;N;0;закончиться;0;0;Past;0;0;0;было не закончилось трагично.  ;  В тот же день, по странной прихоти судьбы, в том же старом доме на Невском произошло еще одно приключение, связанное с поэтом, которое чуть было не закончилось трагично.  [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята];;;;;;;;1969 ;2009 ;художественная проза ;повесть ; ;2010 
   Оказывается, я только что ; чуть ;  ;я;Sg;F;1;утонуть;0;0;Past;2;0;0;было не утонула в талой ;  Оказывается, я только что чуть было не утонула в талой воде, в которой до меня не постеснялся утопнуть местный олень.  [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята];;;;;;;;1969 ;2009 ;художественная проза ;повесть ; ;2010 
  Они только что меня ; чуть ;  ;они;Pl;Pl;1;пристрелить;0;0;Past;1;0;0;было не пристрелили.  ; Они только что меня чуть было не пристрелили.  [Ю. И. Андреева. Многоточие сборки (2009)] [омонимия не снята];;;;;;;;1969 ;2009 ;художественная проза ;повесть ; ;2010 
  И пару раз он ; чуть ;  ;он;Sg;M;1;попасться;0;0;Past;0;0;0;было не попался.  ; И пару раз он чуть было не попался.  [С. Ю. Бакатов. Сафрон (Записки ветеринарного врача) // «Наука и жизнь», 2009] [омонимия не снята];;;;;;;; ;2009 ;публицистика ,  нехудожественная ;очерк ;природа ;2009 
 на него фанатиков-монахов, которые ; чуть ;  ;которые (фанатики-монахи);Pl;Pl;1;расправиться;0;0;Past;2;0;0;было не расправились с Орестом ; Чтобы преподать префекту предметный урок, Кирилл натравил на него фанатиков-монахов, которые чуть было не расправились с Орестом (по счастью, тот отделался только раной).  [Андрей Балабуха. «Афина по уму, Гера по осанке, Афродита по красоте» // «Наука и жизнь», 2009] [омонимия не снята];;;;;;;; ;2009 ;публицистика ,  нехудожественная ;очерк ;частная жизнь, наука и технологии, история, религия ;2009 
   ? Знаю, что вы ли… ? ; чуть ;  ;вы;Pl;Pl;1;говорить;1;0;Past;1;0;0;было не говорю «ликвидировали», ? устранили ;  ? Знаю, что вы ли… ? чуть было не говорю «ликвидировали», ? устранили детские дома.  [Марина Ахмедова, Рамзан Кадыров. Если что, я — Рамзан // «Русский репортер», № 43 (122), 12-19 ноября 2009, 2009] [омонимия не снята];;;;;;;;1976 ;2009 ;публицистика ,  нехудожественная ;интервью ;политика и общественная жизнь ;2009 
 и Киева, в 1992-м ; чуть ;  ;0;Pl;Pl;0;подарить;0;0;Past;1;0;0;было не подарили Украине к ; Черноморский флот, из-за которого сейчас ломают копья политики Москвы и Киева, в 1992-м чуть было не подарили Украине к новогодним праздникам.  [Вера Кузьмина. Убить в себе русского // «Однако», 2009] [омонимия не снята];;;;;;;; ;2009 ;публицистика, нехудожественная ;хроника ;политика и общественная жизнь ;2009 
  Воспоминание о нем ; чуть ;  ;воспоминание;Sg;N;0;испортить;0;0;Past;1;0;0;было не испортило поднявшееся настроение ; Воспоминание о нем чуть было не испортило поднявшееся настроение, поэтому Маруся как можно быстрее завела машину и выехала с территории школы.  [Полина Волошина, Евгений Кульков. Маруся (2009)] [омонимия не снята];;;;;;;; ;2009 ;художественная ;повесть ; ;2009 
   Услышав про магазины, я ; чуть ;  ;я;Sg;M;1;дать;0;0;Past;3;0;0;было не дал задний ход ;  Услышав про магазины, я чуть было не дал задний ход.  [А. В. Жвалевский, Е. Пастернак. Время всегда хорошее (2009)] [омонимия не снята];;;;;;;;1967 ;2009 ;художественная ;повесть ; ;2009 
